Horodateur,"Pour être sûr ","Écoutez-vous de la musique ? ",🗓️🎵 À quelle fréquence écoutez-vous de la musique ?,🏘️🎵 Dans quel(s) contexte(s) écoutez-vous vos musiques ?,"🌞🎵 À quel moment de la journée écoutez-vous le plus de la musique ? ",❓🎵 Comment écoutez-vous vos musiques ?,📱🎵 Quelle(s) plateforme(s) de streaming utilisez-vous ?,🧐🎵 Vos musiques servent à :,🔡🎵 Quels sont vos genres de musique préférés,⏰🎵 Quelle est la durée moyenne des musiques que vous écoutez ?,"🎧🎵 Écoutez-vous plutôt des morceaux ",🚲🎵 Quel est le tempo des musiques que vous écoutez ?,👂🎵 Les musiques que vous écoutez sont plutôt,🔴🎵 Écoutez-vous des musiques interprétées en live ? (concert par exemple),🔊🎵 La qualité de l'audio est importante pour moi,💪🎵 A quel point êtes vous prêt(e) à découvrir de nouveaux genres ou artistes ?,📊 Quelle est votre tranche d'âge ?,👤 Quel est votre genre ?,👔 Dans quel domaine travaillez-vous ?,Colonne 20
08/10/2025 08:36:31,"J’ai lu et compris les informations ci-dessus, et je consens à participer.","✅ Oui, c'est mieux pour répondre à un questionnaire sur ses goûts musicaux !",😍 + d'une fois par jour,"👤 Seul(e), 👥 Entre amis, 🎉 En fête, ❌ Autre",🌤️ Après-midi,"ᯤ Streaming, 💿 CD, 📥 Téléchargements",💚 Spotify,"⏳ Passer le temps, 🥳 Faire la fête, 🖼️ S'échapper, 📖 Se concentrer, 🫧 Se mettre dans sa bulle","Classique, Pop, Rock, Dance - Electro",🟡 - de 5 minutes,🗣️ Avec des paroles,🚅 Rapide,🟩 Positives,✅ Oui,✅ D'accord,"J’aime bien découvrir, mais je garde mes styles habituels",entre 19 et 24 ans,♂️ Homme,Etudiant,
08/10/2025 09:23:28,"J’ai lu et compris les informations ci-dessus, et je consens à participer.","✅ Oui, c'est mieux pour répondre à un questionnaire sur ses goûts musicaux !",😍 + d'une fois par jour,👤 Seul(e),🌄 Matin,"ᯤ Streaming, 📥 Téléchargements",💚 Spotify,"⏳ Passer le temps, 🖼️ S'échapper, 📖 Se concentrer, 🫧 Se mettre dans sa bulle","Pop, Rock, Dance - Electro, Ambiente",🟡 - de 5 minutes,🗣️ Avec des paroles,🚅 Rapide,🟩 Positives,❌ Non,✅ D'accord,"J’aime bien découvrir, mais je garde mes styles habituels",entre 19 et 24 ans,♀️ Femme,Technologie & Informatique,
08/10/2025 11:00:10,"J’ai lu et compris les informations ci-dessus, et je consens à participer.","✅ Oui, c'est mieux pour répondre à un questionnaire sur ses goûts musicaux !",😍 + d'une fois par jour,"👤 Seul(e), 🎉 En fête, ❌ Autre",🌙 Soir,"ᯤ Streaming, 📀 Vinyle, 💿 CD",💜 Deezer,"⏳ Passer le temps, 🖼️ S'échapper","Classique, Pop, Rock",🔴 + de 10 minutes,🗣️ Avec des paroles,🚅 Rapide,🟩 Positives,✅ Oui,👍 Plutôt d'accord,J’adore découvrir de nouveaux genres et artistes,entre 55 et 64 ans,♀️ Femme,Éducation,
08/10/2025 11:02:30,"J’ai lu et compris les informations ci-dessus, et je consens à participer.","✅ Oui, c'est mieux pour répondre à un questionnaire sur ses goûts musicaux !",😍 + d'une fois par jour,"👤 Seul(e), 👥 Entre amis, 🎉 En fête",🌄 Matin,"ᯤ Streaming, 💿 CD, Radio",💜 Deezer,"🥳 Faire la fête, 🖼️ S'échapper","Pop, Rock, Latino",🔴 + de 10 minutes,🗣️ Avec des paroles,🚅 Rapide,🟩 Positives,❌ Non,✅ D'accord,"J’aime bien découvrir, mais je garde mes styles habituels",entre 55 et 64 ans,♀️ Femme,Commerce & Services,
08/10/2025 11:04:44,"J’ai lu et compris les informations ci-dessus, et je consens à participer.","✅ Oui, c'est mieux pour répondre à un questionnaire sur ses goûts musicaux !",😍 + d'une fois par jour,"👤 Seul(e), 👥 Entre amis",🌤️ Après-midi,"ᯤ Streaming, 📥 Téléchargements","💚 Spotify, ❤️ Youtube Music","⏳ Passer le temps, 🖼️ S'échapper, 🕺 Danser, 📖 Se concentrer, 🫧 Se mettre dans sa bulle","Latino, Vocaloid",🟡 - de 5 minutes,🗣️ Avec des paroles,🚅 Rapide,🟩 Positives,✅ Oui,✅ D'accord,"J’aime bien découvrir, mais je garde mes styles habituels",entre 19 et 24 ans,Préfère ne pas dire,Etudiant,
08/10/2025 12:33:05,"J’ai lu et compris les informations ci-dessus, et je consens à participer.","✅ Oui, c'est mieux pour répondre à un questionnaire sur ses goûts musicaux !",😍 + d'une fois par jour,"👤 Seul(e), 👥 Entre amis",🌙 Soir,"ᯤ Streaming, 📥 Téléchargements",❤️ Youtube Music,"⏳ Passer le temps, 🕺 Danser","Pop, Rap",🟡 - de 5 minutes,🗣️ Avec des paroles,🚅 Rapide,🟩 Positives,❌ Non,👍 Plutôt d'accord,"J’aime bien découvrir, mais je garde mes styles habituels",entre 25 et 34 ans,♀️ Femme,Éducation,
08/10/2025 13:06:58,"J’ai lu et compris les informations ci-dessus, et je consens à participer.","✅ Oui, c'est mieux pour répondre à un questionnaire sur ses goûts musicaux !",😍 + d'une fois par jour,"👤 Seul(e), 👥 Entre amis",🌙 Soir,"ᯤ Streaming, 💿 CD","💚 Spotify, ❤️ Youtube Music","⏳ Passer le temps, 📖 Se concentrer, 🫧 Se mettre dans sa bulle","Pop, Rap, Rock",🟡 - de 5 minutes,🗣️ Avec des paroles,🚅 Rapide,🟩 Positives,❌ Non,✅ D'accord,"J’aime bien découvrir, mais je garde mes styles habituels",entre 25 et 34 ans,♀️ Femme,Commerce & Services,
08/10/2025 13:16:56,"J’ai lu et compris les informations ci-dessus, et je consens à participer.","✅ Oui, c'est mieux pour répondre à un questionnaire sur ses goûts musicaux !",😍 + d'une fois par jour,👤 Seul(e),🌤️ Après-midi,ᯤ Streaming,💚 Spotify,"⏳ Passer le temps, 🖼️ S'échapper, 📖 Se concentrer, 🫧 Se mettre dans sa bulle",Autres,🔴 + de 10 minutes,🎤 Avec une voix mais en fond,🚅 Rapide,🟩 Positives,❌ Non,✅ D'accord,Je préfère rester sur les genres que je connais déjà,entre 12 et 18 ans,♀️ Femme,Etudiante,
08/10/2025 13:30:26,"J’ai lu et compris les informations ci-dessus, et je consens à participer.","✅ Oui, c'est mieux pour répondre à un questionnaire sur ses goûts musicaux !",😍 + d'une fois par jour,👤 Seul(e),🌤️ Après-midi,ᯤ Streaming,💚 Spotify,"⏳ Passer le temps, 🖼️ S'échapper, 📖 Se concentrer, 🫧 Se mettre dans sa bulle","Rap, Phonk/ Funk/ Opening Animé ",🔴 + de 10 minutes,🎤 Avec une voix mais en fond,🚅 Rapide,🟩 Positives,❌ Non,✅ D'accord,Je préfère rester sur les genres que je connais déjà,entre 12 et 18 ans,♀️ Femme,Étudiante,
08/10/2025 13:33:14,"J’ai lu et compris les informations ci-dessus, et je consens à participer.","✅ Oui, c'est mieux pour répondre à un questionnaire sur ses goûts musicaux !",😍 + d'une fois par jour,👤 Seul(e),🌙 Soir,ᯤ Streaming,"💚 Spotify, ❤️ Youtube Music","⏳ Passer le temps, 📖 Se concentrer, 🫧 Se mettre dans sa bulle","Pop, Rap, Latino, Soul-R&B, Reggae, K pop",🔴 + de 10 minutes,🗣️ Avec des paroles,🚅 Rapide,🟩 Positives,✅ Oui,✅ D'accord,"J’aime bien découvrir, mais je garde mes styles habituels",entre 45 et 54 ans,♀️ Femme,"Assistante maternelle ",
08/10/2025 15:00:57,"J’ai lu et compris les informations ci-dessus, et je consens à participer.","✅ Oui, c'est mieux pour répondre à un questionnaire sur ses goûts musicaux !",😍 + d'une fois par jour,"👤 Seul(e), 👥 Entre amis, 🎉 En fête",🌙 Soir,"ᯤ Streaming, 📥 Téléchargements","💜 Deezer, 🤍 Apple Music","⏳ Passer le temps, 🥳 Faire la fête, 🖼️ S'échapper, 🫧 Se mettre dans sa bulle","Pop, Rap, Soul-R&B",🟡 - de 5 minutes,🗣️ Avec des paroles,🚅 Rapide,🟩 Positives,✅ Oui,✅ D'accord,"J’aime bien découvrir, mais je garde mes styles habituels",entre 25 et 34 ans,♀️ Femme,Éducation,
08/10/2025 21:22:31,"J’ai lu et compris les informations ci-dessus, et je consens à participer.","✅ Oui, c'est mieux pour répondre à un questionnaire sur ses goûts musicaux !",😍 + d'une fois par jour,"👤 Seul(e), 🎉 En fête",🌕 Nuit,ᯤ Streaming,"💚 Spotify, 💜 Deezer, 🧡 SoundCloud","⏳ Passer le temps, 🥳 Faire la fête, 🖼️ S'échapper, 📖 Se concentrer, 🫧 Se mettre dans sa bulle","Pop, Rap, Rock, Dance - Electro",🟡 - de 5 minutes,🗣️ Avec des paroles,🚅 Rapide,🟩 Positives,✅ Oui,👍 Plutôt d'accord,J’adore découvrir de nouveaux genres et artistes,entre 19 et 24 ans,♂️ Homme,Technologie & Informatique,
08/10/2025 21:27:03,"J’ai lu et compris les informations ci-dessus, et je consens à participer.","✅ Oui, c'est mieux pour répondre à un questionnaire sur ses goûts musicaux !",😍 + d'une fois par jour,👤 Seul(e),🌙 Soir,ᯤ Streaming,💚 Spotify,"⏳ Passer le temps, 🥳 Faire la fête, 🖼️ S'échapper, 🕺 Danser, 📖 Se concentrer, 🫧 Se mettre dans sa bulle","Pop, Rap",🟡 - de 5 minutes,🗣️ Avec des paroles,🚗 Lent,🟦 Tristes,❌ Non,✅ D'accord,"J’aime bien découvrir, mais je garde mes styles habituels",entre 19 et 24 ans,♂️ Homme,Préfère ne pas dire,
09/10/2025 07:11:57,"J’ai lu et compris les informations ci-dessus, et je consens à participer.","✅ Oui, c'est mieux pour répondre à un questionnaire sur ses goûts musicaux !",😍 + d'une fois par jour,👤 Seul(e),🌙 Soir,"ᯤ Streaming, 💿 CD",❤️ Youtube Music,⏳ Passer le temps,"Pop, Rock",🟡 - de 5 minutes,🗣️ Avec des paroles,🚅 Rapide,🟦 Tristes,✅ Oui,👍 Plutôt d'accord,"J’aime bien découvrir, mais je garde mes styles habituels",entre 55 et 64 ans,♂️ Homme,Construction & Industrie,
09/10/2025 10:23:46,"J’ai lu et compris les informations ci-dessus, et je consens à participer.","✅ Oui, c'est mieux pour répondre à un questionnaire sur ses goûts musicaux !",😍 + d'une fois par jour,👤 Seul(e),🌄 Matin,"ᯤ Streaming, 📥 Téléchargements",💚 Spotify,⏳ Passer le temps,"Pop, Rock",🟡 - de 5 minutes,🗣️ Avec des paroles,🚅 Rapide,🟩 Positives,❌ Non,✅ D'accord,"J’aime bien découvrir, mais je garde mes styles habituels",entre 25 et 34 ans,♀️ Femme,Éducation,
09/10/2025 10:56:32,"J’ai lu et compris les informations ci-dessus, et je consens à participer.","✅ Oui, c'est mieux pour répondre à un questionnaire sur ses goûts musicaux !",🥰 + d'une fois par semaine,"👤 Seul(e), 👥 Entre amis, 🎉 En fête",🌤️ Après-midi,ᯤ Streaming,"Youtube ","🥳 Faire la fête, 📖 Se concentrer","Pop, Rock",🟡 - de 5 minutes,🗣️ Avec des paroles,🚅 Rapide,🟩 Positives,❌ Non,👍 Plutôt d'accord,"J’aime bien découvrir, mais je garde mes styles habituels",entre 19 et 24 ans,♂️ Homme,Sciences Humaines,
09/10/2025 11:25:59,"J’ai lu et compris les informations ci-dessus, et je consens à participer.","✅ Oui, c'est mieux pour répondre à un questionnaire sur ses goûts musicaux !",🥰 + d'une fois par semaine,"👤 Seul(e), 👥 Entre amis",🌤️ Après-midi,ᯤ Streaming,"💜 Deezer, ❤️ Youtube Music","🖼️ S'échapper, 📖 Se concentrer","Pop, Rock, Musiques de film",🟡 - de 5 minutes,🎤 Avec une voix mais en fond,🚗 Lent,🟦 Tristes,❌ Non,👍 Plutôt d'accord,"J’aime bien découvrir, mais je garde mes styles habituels",entre 25 et 34 ans,♀️ Femme,Éducation,
09/10/2025 12:24:19,"J’ai lu et compris les informations ci-dessus, et je consens à participer.","✅ Oui, c'est mieux pour répondre à un questionnaire sur ses goûts musicaux !",🥰 + d'une fois par semaine,"👤 Seul(e), 🎉 En fête",🌙 Soir,"ᯤ Streaming, 📥 Téléchargements",💜 Deezer,"🥳 Faire la fête, 🖼️ S'échapper, 🕺 Danser, 🫧 Se mettre dans sa bulle","Classique, Soul-R&B, Techno",🟡 - de 5 minutes,🎤 Avec une voix mais en fond,🚅 Rapide,🟩 Positives,❌ Non,✅ D'accord,"J’aime bien découvrir, mais je garde mes styles habituels",entre 19 et 24 ans,♀️ Femme,"Environnement ",
09/10/2025 12:35:46,"J’ai lu et compris les informations ci-dessus, et je consens à participer.","✅ Oui, c'est mieux pour répondre à un questionnaire sur ses goûts musicaux !",😍 + d'une fois par jour,"👤 Seul(e), 👥 Entre amis, 🫂 En famille, 🎉 En fête",🌙 Soir,ᯤ Streaming,💚 Spotify,"🕺 Danser, 📖 Se concentrer, 🫧 Se mettre dans sa bulle","Pop, Rock",🟡 - de 5 minutes,🗣️ Avec des paroles,🚅 Rapide,🟩 Positives,❌ Non,✅ D'accord,"J’aime bien découvrir, mais je garde mes styles habituels",entre 25 et 34 ans,♀️ Femme,Arts & Médias,
09/10/2025 13:29:56,"J’ai lu et compris les informations ci-dessus, et je consens à participer.","✅ Oui, c'est mieux pour répondre à un questionnaire sur ses goûts musicaux !",😍 + d'une fois par jour,"👤 Seul(e), 👥 Entre amis, 🎉 En fête",🌙 Soir,ᯤ Streaming,❤️ Youtube Music,"⏳ Passer le temps, 🖼️ S'échapper, 📖 Se concentrer, 🫧 Se mettre dans sa bulle","Classique, Pop, Rap, Dance - Electro",🟡 - de 5 minutes,🗣️ Avec des paroles,🚅 Rapide,🟩 Positives,❌ Non,👍 Plutôt d'accord,"J’aime bien découvrir, mais je garde mes styles habituels",entre 19 et 24 ans,♂️ Homme,Technologie & Informatique,
09/10/2025 14:53:46,"J’ai lu et compris les informations ci-dessus, et je consens à participer.",❌ Non.,,,,,,,,,,,,,,,entre 19 et 24 ans,♂️ Homme,Technologie & Informatique,
09/10/2025 14:55:58,"J’ai lu et compris les informations ci-dessus, et je consens à participer.","✅ Oui, c'est mieux pour répondre à un questionnaire sur ses goûts musicaux !",😍 + d'une fois par jour,👤 Seul(e),🌙 Soir,ᯤ Streaming,💚 Spotify,🖼️ S'échapper,Night core regey,🟢 - de 2 minutes,🗣️ Avec des paroles,✈️ Très rapide,🟩 Positives,✅ Oui,✅ D'accord,J’adore découvrir de nouveaux genres et artistes,entre 19 et 24 ans,♂️ Homme,Technologie & Informatique,
09/10/2025 17:12:59,"J’ai lu et compris les informations ci-dessus, et je consens à participer.","✅ Oui, c'est mieux pour répondre à un questionnaire sur ses goûts musicaux !",😍 + d'une fois par jour,"👤 Seul(e), 👥 Entre amis, 🫂 En famille, 🎉 En fête",🌕 Nuit,"ᯤ Streaming, 💿 CD",💚 Spotify,"⏳ Passer le temps, 🥳 Faire la fête, 🖼️ S'échapper, 🕺 Danser, 📖 Se concentrer, 🫧 Se mettre dans sa bulle","Rock, Dance - Electro, Latino, Reggae",🟡 - de 5 minutes,🗣️ Avec des paroles,🚅 Rapide,🟩 Positives,❌ Non,👍 Plutôt d'accord,"J’aime bien découvrir, mais je garde mes styles habituels",entre 25 et 34 ans,♀️ Femme,Santé,
09/10/2025 18:10:46,"J’ai lu et compris les informations ci-dessus, et je consens à participer.","✅ Oui, c'est mieux pour répondre à un questionnaire sur ses goûts musicaux !",😍 + d'une fois par jour,"👤 Seul(e), 👥 Entre amis, 🫂 En famille, 🎉 En fête",🌕 Nuit,"ᯤ Streaming, 📀 Vinyle","💜 Deezer, 🧡 SoundCloud","⏳ Passer le temps, 🥳 Faire la fête, 🖼️ S'échapper, 🕺 Danser, 📖 Se concentrer, 🫧 Se mettre dans sa bulle","Rap, Rock, Dance - Electro, Jazz",🟡 - de 5 minutes,🗣️ Avec des paroles,🚅 Rapide,🟦 Tristes,✅ Oui,👍 Plutôt d'accord,J’adore découvrir de nouveaux genres et artistes,entre 12 et 18 ans,♂️ Homme,Technologie & Informatique,
09/10/2025 18:11:13,"J’ai lu et compris les informations ci-dessus, et je consens à participer.","✅ Oui, c'est mieux pour répondre à un questionnaire sur ses goûts musicaux !",😍 + d'une fois par jour,"👤 Seul(e), 👥 Entre amis, 🫂 En famille, 🎉 En fête",🌙 Soir,ᯤ Streaming,"💚 Spotify, ❤️ Youtube Music, 🧡 SoundCloud, ❌ Je n'écoute pas sur une platforme de streaming","⏳ Passer le temps, 🥳 Faire la fête, 🖼️ S'échapper, 🕺 Danser, 📖 Se concentrer, 🫧 Se mettre dans sa bulle","Classique, Rap, Reggae, Metal, trap metal ",🟡 - de 5 minutes,🗣️ Avec des paroles,🚅 Rapide,🟦 Tristes,❌ Non,✅ D'accord,J’adore découvrir de nouveaux genres et artistes,entre 19 et 24 ans,♂️ Homme,Technologie & Informatique,
09/10/2025 18:16:39,"J’ai lu et compris les informations ci-dessus, et je consens à participer.","✅ Oui, c'est mieux pour répondre à un questionnaire sur ses goûts musicaux !",😍 + d'une fois par jour,👤 Seul(e),🌤️ Après-midi,"ᯤ Streaming, 💿 CD, cassettes",💚 Spotify,"🖼️ S'échapper, 📖 Se concentrer, 🫧 Se mettre dans sa bulle",rock prog,🟠 - de 10 minutes,🎤 Avec une voix mais en fond,🚅 Rapide,🟦 Tristes,✅ Oui,✅ D'accord,"J’aime bien découvrir, mais je garde mes styles habituels",entre 19 et 24 ans,♂️ Homme,Technologie & Informatique,
09/10/2025 21:33:06,"J’ai lu et compris les informations ci-dessus, et je consens à participer.","✅ Oui, c'est mieux pour répondre à un questionnaire sur ses goûts musicaux !",🥰 + d'une fois par semaine,"👤 Seul(e), 👥 Entre amis, 🫂 En famille, 🎉 En fête, ❌ Autre",🌤️ Après-midi,ᯤ Streaming,❤️ Youtube Music,"🖼️ S'échapper, 🕺 Danser, 🫧 Se mettre dans sa bulle","Rap, Rock, Dance - Electro, Latino, Reggae",🟠 - de 10 minutes,🗣️ Avec des paroles,🚅 Rapide,🟩 Positives,✅ Oui,✅ D'accord,"J’aime bien découvrir, mais je garde mes styles habituels",entre 35 et 44 ans,♀️ Femme,"Agriculture ",
09/10/2025 21:34:40,"J’ai lu et compris les informations ci-dessus, et je consens à participer.","✅ Oui, c'est mieux pour répondre à un questionnaire sur ses goûts musicaux !",😍 + d'une fois par jour,"👤 Seul(e), 🫂 En famille, 🎉 En fête",🌙 Soir,"ᯤ Streaming, 💿 CD","💚 Spotify, ❤️ Youtube Music","⏳ Passer le temps, 🖼️ S'échapper, 🕺 Danser, 🫧 Se mettre dans sa bulle","Pop, Dance - Electro, Annees 80",🟡 - de 5 minutes,🗣️ Avec des paroles,🚅 Rapide,🟩 Positives,❌ Non,✅ D'accord,J’adore découvrir de nouveaux genres et artistes,entre 45 et 54 ans,♀️ Femme,Fonctionnaire,
09/10/2025 21:38:28,"J’ai lu et compris les informations ci-dessus, et je consens à participer.","✅ Oui, c'est mieux pour répondre à un questionnaire sur ses goûts musicaux !",😍 + d'une fois par jour,"👤 Seul(e), 👥 Entre amis, 🫂 En famille, 🎉 En fête",🌄 Matin,"ᯤ Streaming, 📀 Vinyle, Concert /festival 🤘","💜 Deezer, ❤️ Youtube Music","🥳 Faire la fête, 🖼️ S'échapper","Rock, Death métal",🔴 + de 10 minutes,🗣️ Avec des paroles,🚅 Rapide,🟩 Positives,✅ Oui,✅ D'accord,"J’aime bien découvrir, mais je garde mes styles habituels",entre 45 et 54 ans,♂️ Homme,Préfère ne pas dire,
09/10/2025 21:38:57,"J’ai lu et compris les informations ci-dessus, et je consens à participer.","✅ Oui, c'est mieux pour répondre à un questionnaire sur ses goûts musicaux !",😍 + d'une fois par jour,"👤 Seul(e), 🫂 En famille, 🎉 En fête",🌤️ Après-midi,ᯤ Streaming,💜 Deezer,"⏳ Passer le temps, 🕺 Danser, 📖 Se concentrer, 🫧 Se mettre dans sa bulle","Pop, Rock, Dance - Electro",🔴 + de 10 minutes,🎤 Avec une voix mais en fond,🚅 Rapide,🟩 Positives,✅ Oui,✅ D'accord,"J’aime bien découvrir, mais je garde mes styles habituels",entre 45 et 54 ans,♂️ Homme,Technologie & Informatique,
09/10/2025 21:43:54,"J’ai lu et compris les informations ci-dessus, et je consens à participer.","✅ Oui, c'est mieux pour répondre à un questionnaire sur ses goûts musicaux !",😍 + d'une fois par jour,"👤 Seul(e), 🫂 En famille, 🎉 En fête",🌄 Matin,ᯤ Streaming,"💚 Spotify, ❤️ Youtube Music","⏳ Passer le temps, 🖼️ S'échapper, 🫧 Se mettre dans sa bulle","Pop, Dance - Electro, Soul-R&B, Reggae",🔴 + de 10 minutes,🗣️ Avec des paroles,🚅 Rapide,🟩 Positives,✅ Oui,✅ D'accord,J’adore découvrir de nouveaux genres et artistes,entre 55 et 64 ans,♂️ Homme,,
09/10/2025 21:45:14,"J’ai lu et compris les informations ci-dessus, et je consens à participer.","✅ Oui, c'est mieux pour répondre à un questionnaire sur ses goûts musicaux !",😍 + d'une fois par jour,👤 Seul(e),🌄 Matin,ᯤ Streaming,💜 Deezer,🫧 Se mettre dans sa bulle,Dance - Electro,🟡 - de 5 minutes,🗣️ Avec des paroles,🚅 Rapide,🟩 Positives,❌ Non,✅ D'accord,Je veux uniquement écouter la musique que j’aime déjà,entre 45 et 54 ans,♂️ Homme,Commerce & Services,
09/10/2025 21:46:51,"J’ai lu et compris les informations ci-dessus, et je consens à participer.","✅ Oui, c'est mieux pour répondre à un questionnaire sur ses goûts musicaux !",😍 + d'une fois par jour,"👤 Seul(e), 👥 Entre amis, 🎉 En fête",🌄 Matin,ᯤ Streaming,💜 Deezer,"⏳ Passer le temps, 🥳 Faire la fête, 🕺 Danser, 🫧 Se mettre dans sa bulle","Rap, Rock, Latino, Soul-R&B, Reggae",🟡 - de 5 minutes,🗣️ Avec des paroles,🚅 Rapide,🟩 Positives,❌ Non,👍 Plutôt d'accord,J’adore découvrir de nouveaux genres et artistes,entre 19 et 24 ans,♂️ Homme,Préfère ne pas dire,
09/10/2025 21:48:37,"J’ai lu et compris les informations ci-dessus, et je consens à participer.","✅ Oui, c'est mieux pour répondre à un questionnaire sur ses goûts musicaux !",😍 + d'une fois par jour,👤 Seul(e),🌄 Matin,ᯤ Streaming,💚 Spotify,🫧 Se mettre dans sa bulle,"Pop, Rock",🟡 - de 5 minutes,🎤 Avec une voix mais en fond,🚅 Rapide,🟦 Tristes,✅ Oui,👍 Plutôt d'accord,"J’aime bien découvrir, mais je garde mes styles habituels",entre 45 et 54 ans,♀️ Femme,Éducation,
09/10/2025 21:50:03,"J’ai lu et compris les informations ci-dessus, et je consens à participer.","✅ Oui, c'est mieux pour répondre à un questionnaire sur ses goûts musicaux !",🥰 + d'une fois par semaine,"👤 Seul(e), 🫂 En famille",🌄 Matin,ᯤ Streaming,💚 Spotify,⏳ Passer le temps,"Pop, Rock, Dance - Electro, Jazz",🟡 - de 5 minutes,🗣️ Avec des paroles,🚅 Rapide,🟩 Positives,❌ Non,👍 Plutôt d'accord,"J’aime bien découvrir, mais je garde mes styles habituels",entre 45 et 54 ans,♂️ Homme,Technologie & Informatique,
09/10/2025 22:11:10,"J’ai lu et compris les informations ci-dessus, et je consens à participer.","✅ Oui, c'est mieux pour répondre à un questionnaire sur ses goûts musicaux !",😍 + d'une fois par jour,"👤 Seul(e), 👥 Entre amis, 🎉 En fête",🌄 Matin,"ᯤ Streaming, ","💜 Deezer, ❤️ Youtube Music, ","🥳 Faire la fête, 🖼️ S'échapper, 🕺 Danser","Pop, Rap, Rock, Soul-R&B",🟢 - de 2 minutes,🗣️ Avec des paroles,🚅 Rapide,🟩 Positives,❌ Non,✅ D'accord,"J’aime bien découvrir, mais je garde mes styles habituels",entre 35 et 44 ans,♀️ Femme,Préfère ne pas dire,
09/10/2025 22:11:18,"J’ai lu et compris les informations ci-dessus, et je consens à participer.","✅ Oui, c'est mieux pour répondre à un questionnaire sur ses goûts musicaux !",😍 + d'une fois par jour,"👤 Seul(e), 👥 Entre amis, 🫂 En famille, 🎉 En fête",🌄 Matin,📥 Téléchargements,💚 Spotify,"📖 Se concentrer, 🫧 Se mettre dans sa bulle","Pop, Rap, Rock, Latino, Soul-R&B, Reggae",🟠 - de 10 minutes,🗣️ Avec des paroles,🚅 Rapide,🟩 Positives,❌ Non,✅ D'accord,"J’aime bien découvrir, mais je garde mes styles habituels",entre 45 et 54 ans,♀️ Femme,Éducation,
09/10/2025 22:42:46,"J’ai lu et compris les informations ci-dessus, et je consens à participer.","✅ Oui, c'est mieux pour répondre à un questionnaire sur ses goûts musicaux !",😍 + d'une fois par jour,"👤 Seul(e), 👥 Entre amis, 🎉 En fête",🌙 Soir,"ᯤ Streaming, 📀 Vinyle",💚 Spotify,"⏳ Passer le temps, 🥳 Faire la fête, 📖 Se concentrer, 🫧 Se mettre dans sa bulle","Pop, Dance - Electro, Soul-R&B, Reggae",🟡 - de 5 minutes,🗣️ Avec des paroles,🚅 Rapide,🟩 Positives,✅ Oui,👍 Plutôt d'accord,"J’aime bien découvrir, mais je garde mes styles habituels",entre 25 et 34 ans,♀️ Femme,"Communication ",
10/10/2025 01:08:56,"J’ai lu et compris les informations ci-dessus, et je consens à participer.","✅ Oui, c'est mieux pour répondre à un questionnaire sur ses goûts musicaux !",🥰 + d'une fois par semaine,👤 Seul(e),🌕 Nuit,ᯤ Streaming,💚 Spotify,"📖 Se concentrer, 🫧 Se mettre dans sa bulle","Classique, Pop, Rock, Soul-R&B",🟡 - de 5 minutes,🗣️ Avec des paroles,🚅 Rapide,🟩 Positives,❌ Non,✅ D'accord,"J’aime bien découvrir, mais je garde mes styles habituels",entre 45 et 54 ans,♀️ Femme,Construction & Industrie,
10/10/2025 06:15:11,"J’ai lu et compris les informations ci-dessus, et je consens à participer.","✅ Oui, c'est mieux pour répondre à un questionnaire sur ses goûts musicaux !",😍 + d'une fois par jour,"👤 Seul(e), 🎉 En fête",🌄 Matin,"ᯤ Streaming, 📥 Téléchargements",💚 Spotify,"⏳ Passer le temps, 🥳 Faire la fête, 🖼️ S'échapper, 📖 Se concentrer, 🫧 Se mettre dans sa bulle","Rock, Dance - Electro",🟠 - de 10 minutes,🗣️ Avec des paroles,✈️ Très rapide,🟩 Positives,✅ Oui,✅ D'accord,"J’aime bien découvrir, mais je garde mes styles habituels",entre 45 et 54 ans,♂️ Homme,Préfère ne pas dire,
10/10/2025 06:40:47,"J’ai lu et compris les informations ci-dessus, et je consens à participer.","✅ Oui, c'est mieux pour répondre à un questionnaire sur ses goûts musicaux !",😍 + d'une fois par jour,"👤 Seul(e), 👥 Entre amis, 🫂 En famille, 🎉 En fête",🌙 Soir,ᯤ Streaming,💜 Deezer,"🥳 Faire la fête, 🖼️ S'échapper, 🫧 Se mettre dans sa bulle","Pop, Rap, Rock, Soul-R&B",🔴 + de 10 minutes,🗣️ Avec des paroles,🚅 Rapide,🟦 Tristes,✅ Oui,✅ D'accord,"J’aime bien découvrir, mais je garde mes styles habituels",entre 45 et 54 ans,♂️ Homme,Commerce & Services,
10/10/2025 07:04:34,"J’ai lu et compris les informations ci-dessus, et je consens à participer.","✅ Oui, c'est mieux pour répondre à un questionnaire sur ses goûts musicaux !",😍 + d'une fois par jour,"👤 Seul(e), 👥 Entre amis, 🫂 En famille",🌙 Soir,"ᯤ Streaming, 📥 Téléchargements","💚 Spotify, 💜 Deezer, ❤️ Youtube Music","🖼️ S'échapper, 🫧 Se mettre dans sa bulle","Latino, Chansons françaises ",🟡 - de 5 minutes,🗣️ Avec des paroles,🚗 Lent,🟦 Tristes,✅ Oui,✅ D'accord,"J’aime bien découvrir, mais je garde mes styles habituels",entre 45 et 54 ans,♂️ Homme,Commerce & Services,
